ID,strain,fluorescencesignal,type,invDepth,mediancurvtip,minimalslopeangle,Distneck2tip,relativewidthofneck,gaussiancurvneck,Distneck2PM,neckwidth,EZdetached,EZdepth,EZwidth,EZelongation
19,NaN,NaN,NaN,72.89,0.08,0.01,34.34,0.9,0,38.56,29.92,NaN,173,275,NaN
20,NaN,NaN,NaN,31.49,0.07,60.34,NaN,NaN,NaN,NaN,NaN,NaN,87,225,NaN
21,NaN,NaN,NaN,38.96,0.1,41.57,NaN,NaN,NaN,NaN,NaN,NaN,111,180,NaN
22,NaN,NaN,NaN,32.27,0.1,26.02,NaN,NaN,NaN,NaN,NaN,NaN,130,150,NaN
23,NaN,NaN,NaN,40.53,0.12,16.89,NaN,NaN,NaN,NaN,22.86,NaN,164,180,NaN
24,NaN,NaN,NaN,108.26,0.09,0,69.19,0.92,0,39.28,28.62,NaN,209,189,NaN
25,NaN,NaN,NaN,83.5,0.07,0.01,57.04,0.97,0,27.17,38.36,NaN,170,260,NaN
29,NaN,NaN,NaN,12.17,0.02,118.78,NaN,NaN,NaN,NaN,NaN,NaN,92,173,NaN
30,NaN,NaN,NaN,91.46,0.11,0,56.86,0.93,0,34.96,23.65,NaN,173,200,NaN
31,NaN,NaN,NaN,84.2,0.1,0.02,NaN,NaN,NaN,NaN,NaN,NaN,173,225,NaN
32,NaN,NaN,NaN,43.76,0.08,58.29,NaN,NaN,NaN,NaN,NaN,NaN,114,132,NaN
33,NaN,NaN,NaN,63.86,0.1,0.01,45.1,0.54,0.01,18.81,11.44,NaN,115,132,NaN
34,NaN,NaN,NaN,63.3,0.14,0,NaN,NaN,NaN,0,22.34,NaN,166,168,NaN
35,NaN,NaN,NaN,75.55,0.09,0.01,37.28,0.95,0,38.42,27.4,NaN,173,225,NaN
36,NaN,NaN,NaN,40.66,0.09,39.32,NaN,NaN,NaN,NaN,NaN,NaN,130,150,NaN
37,NaN,NaN,NaN,41.95,0.07,43.16,NaN,NaN,NaN,NaN,NaN,NaN,172,180,NaN
53,NaN,NaN,NaN,109.25,0.11,0,85.47,0.86,0,23.91,23.2,NaN,204,171,NaN
54,NaN,NaN,NaN,47.77,0.09,20.31,NaN,NaN,NaN,NaN,NaN,NaN,130,150,NaN
55,NaN,NaN,NaN,77.18,0.08,0,27.48,0.84,0,50.21,25.4,NaN,137,229,NaN
56,NaN,NaN,NaN,52.35,0.11,9.56,NaN,NaN,NaN,NaN,NaN,NaN,143,170,NaN
57,NaN,NaN,NaN,36.04,0.09,17.68,NaN,NaN,NaN,NaN,NaN,NaN,87,100,NaN
58,NaN,NaN,NaN,40.45,0.1,26.95,NaN,NaN,NaN,NaN,NaN,NaN,130,125,NaN
59,NaN,NaN,NaN,54.08,0.1,11.85,15.56,NaN,0,39.2,23.51,NaN,197,197,NaN
60,NaN,NaN,NaN,33.41,0.06,62.19,NaN,NaN,NaN,NaN,NaN,NaN,184,245,NaN
61,NaN,NaN,NaN,15.43,0.04,111.67,NaN,NaN,NaN,NaN,NaN,NaN,203,229,NaN
65,NaN,NaN,NaN,102.01,0.06,0.01,75.94,0.75,0,26.36,22.89,NaN,192,131,NaN
71,NaN,NaN,NaN,84.95,0.07,0,49.65,0.85,0,36.76,26.92,NaN,217,250,NaN
72,NaN,NaN,NaN,84.37,0.1,0.01,47,0.94,0,37.37,25.69,NaN,164,195,NaN
73,NaN,NaN,NaN,112.45,0.07,0,66.45,0.91,0,46.51,29.95,NaN,173,225,NaN
74,NaN,NaN,NaN,122.69,0.06,0.01,85.43,0.55,0,37.46,17.12,NaN,173,125,NaN
75,NaN,NaN,NaN,101.13,0.08,0,58.25,0.78,0,43.69,21.78,NaN,187,129,NaN
76,NaN,NaN,NaN,134.75,0.06,0,101.49,0.35,0.01,33.8,9.34,NaN,181,163,NaN
77,NaN,NaN,NaN,79.98,0.12,0.01,71.35,0.31,0.03,10.57,7.65,NaN,169,116,NaN
78,NaN,NaN,NaN,72.77,0.08,0.02,54.61,0.52,0.01,19.87,14.63,NaN,130,125,NaN
79,NaN,NaN,NaN,111.48,0.07,0,77.74,0.75,0,34.06,24.54,NaN,150,173,NaN
80,NaN,NaN,NaN,59.47,0.11,0,NaN,NaN,NaN,NaN,NaN,NaN,132,195,NaN
81,NaN,NaN,NaN,95.12,0.08,0,69.7,0.33,0.02,25.62,8.48,NaN,224,264,NaN
82,NaN,NaN,NaN,52.95,0.12,0,34.69,0.45,0.01,20.61,20.14,NaN,121,179,NaN
83,NaN,NaN,NaN,100.09,0.11,0.01,NaN,NaN,NaN,NaN,NaN,NaN,217,150,NaN
84,NaN,NaN,NaN,105.33,0.1,0.01,73.21,0.44,0.01,32.87,9.65,NaN,152,177,NaN
85,NaN,NaN,NaN,71.48,0.11,0,35.28,0.97,0,36.36,25.82,NaN,115,229,NaN
86,NaN,NaN,NaN,79.55,0.09,0,56.93,0.59,0.01,23.81,14.3,NaN,124,229,NaN
87,NaN,NaN,NaN,72.45,0.06,0,61.83,0.28,0.02,13.35,13.59,NaN,120,194,NaN
88,NaN,NaN,NaN,78.74,0.08,0.02,49.65,0.9,0,29.09,28.91,NaN,137,180,NaN
89,NaN,NaN,NaN,62.43,0.08,0.01,43.48,0.24,0.02,20.61,10.83,NaN,87,175,NaN
90,NaN,NaN,NaN,86.62,0.09,0.01,55.14,0.71,0,31.49,16.84,NaN,130,175,NaN
91,NaN,NaN,NaN,100.47,0.09,0,58.05,0.87,0,42.77,24.22,NaN,173,125,NaN
92,NaN,NaN,NaN,71.18,0.09,0.02,42.07,0.81,0,29.16,20.85,NaN,118,168,NaN
93,NaN,NaN,NaN,110.67,0.08,0.01,83.18,0.54,0,29.86,11.29,NaN,239,180,NaN
94,NaN,NaN,NaN,129.22,0.06,0,NaN,NaN,NaN,NaN,NaN,NaN,260,225,NaN
112,NaN,NaN,NaN,16.64,0.02,110.39,NaN,NaN,NaN,NaN,NaN,NaN,114,197,NaN
113,NaN,NaN,NaN,43.55,0.11,3.83,16.88,NaN,0,27.91,25.25,NaN,87,175,NaN
114,NaN,NaN,NaN,29.45,0.13,0.06,NaN,NaN,NaN,0,19.38,NaN,130,200,NaN
115,NaN,NaN,NaN,17.11,0.03,117.46,NaN,NaN,NaN,NaN,NaN,NaN,96,132,NaN
116,NaN,NaN,NaN,38.37,0.08,20.74,NaN,NaN,NaN,NaN,NaN,NaN,130,125,NaN
117,NaN,NaN,NaN,42.71,0.09,0.06,NaN,NaN,NaN,NaN,NaN,NaN,130,200,NaN
118,NaN,NaN,NaN,45.92,0.08,0.01,29.29,0.91,0,16.66,27.6,NaN,138,138,NaN
119,NaN,NaN,NaN,70.81,0.12,0,46.87,0.89,0,26.7,22.48,NaN,203,147,NaN
120,NaN,NaN,NaN,7.52,0.02,147.72,NaN,NaN,NaN,NaN,NaN,NaN,70,172,NaN
121,NaN,NaN,NaN,39.44,0.11,29.69,NaN,NaN,NaN,NaN,NaN,NaN,119,223,NaN
122,NaN,NaN,NaN,23,0.06,86.49,NaN,NaN,NaN,NaN,NaN,NaN,173,175,NaN
123,NaN,NaN,NaN,15.14,0.03,120.86,NaN,NaN,NaN,NaN,NaN,NaN,133,216,NaN
1010,NaN,NaN,NaN,26.07,0.03,99.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1011,NaN,NaN,NaN,14.55,0.04,102.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1012,NaN,NaN,NaN,14.96,0.03,115.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1013,NaN,NaN,NaN,6.9,0.01,159.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1014,NaN,NaN,NaN,6.68,0.01,157.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1015,NaN,NaN,NaN,16.89,0.02,127.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1016,NaN,NaN,NaN,18.59,0.04,97.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1017,NaN,NaN,NaN,9.25,0.03,133.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1018,NaN,NaN,NaN,10.41,0.01,149.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1019,NaN,NaN,NaN,21.16,0.04,105.17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1020,NaN,NaN,NaN,48.31,0.09,4.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1021,NaN,NaN,NaN,10.84,0.01,140.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1022,NaN,NaN,NaN,6.29,0.02,160.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1023,NaN,NaN,NaN,10.2,0.02,148.54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1024,NaN,NaN,NaN,19.83,0.06,82.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1025,NaN,NaN,NaN,13.59,0.03,110.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1026,NaN,NaN,NaN,62.18,0.09,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
